city_index,city,carbon_month,carbon_max,median_income_2020
0,Concord,4/1/20,0.3,95066.00
1,Concord,1/1/20,0.686957,95066.00
2,Concord,2/1/20,0.665217,95066.00
3,Concord,3/1/20,0.443478,95066.00
4,Concord,5/1/20,0.313043,95066.00
5,Concord,6/1/20,0.358333,95066.00
6,Concord,7/1/20,0.420833,95066.00
7,Concord,8/1/20,1.275,95066.00
8,Concord,9/1/20,1.4,95066.00
9,Concord,10/1/20,1.370833,95066.00
10,Concord,11/1/20,0.65,95066.00
11,Concord,12/1/20,0.844444,95066.00
12,Napa,3/1/20,0.445833,88141.00
13,Napa,4/1/20,0.345833,88141.00
14,Napa,5/1/20,0.4,88141.00
15,Napa,6/1/20,0.356522,88141.00
16,Napa,7/1/20,0.3,88141.00
17,Napa,8/1/20,0.743478,88141.00
18,Napa,9/1/20,1.434783,88141.00
19,Napa,10/1/20,1.879167,88141.00
20,Napa,11/1/20,0.644444,88141.00
21,Napa,12/1/20,0.708696,88141.00
22,Napa,1/1/20,0.570833,88141.00
23,Napa,2/1/20,0.579167,88141.00
24,Oakland,12/1/20,1.386957,82183.00
25,Oakland,11/1/20,1.134783,82183.00
26,Oakland,1/1/20,1.352632,82183.00
27,Oakland,2/1/20,0.9,82183.00
28,Oakland,4/1/20,0.621739,82183.00
29,Oakland,5/1/20,0.470833,82183.00
30,Oakland,3/1/20,0.633333,82183.00
31,Oakland,7/1/20,0.454167,82183.00
32,Oakland,8/1/20,0.673913,82183.00
33,Oakland,9/1/20,1.520833,82183.00
34,Oakland,10/1/20,1.2125,82183.00
35,Oakland,6/1/20,0.433333,82183.00
36,Pleasanton,8/1/20,1.269565,164780.00
37,Pleasanton,11/1/20,0.745833,164780.00
38,Pleasanton,10/1/20,1.408696,164780.00
39,Pleasanton,9/1/20,1.408696,164780.00
40,Pleasanton,7/1/20,0.565217,164780.00
41,Pleasanton,12/1/20,0.821739,164780.00
42,Pleasanton,5/1/20,0.479167,164780.00
43,Pleasanton,4/1/20,0.391304,164780.00
44,Pleasanton,3/1/20,0.516667,164780.00
45,Pleasanton,2/1/20,0.675,164780.00
46,Pleasanton,1/1/20,0.713043,164780.00
47,Pleasanton,6/1/20,0.521739,164780.00
48,Redwood City,10/1/20,0.891304,126433.00
49,Redwood City,9/1/20,1.413043,126433.00
50,Redwood City,8/1/20,0.654167,126433.00
51,Redwood City,7/1/20,0.3,126433.00
