city_index,city,nitrogen_month,nitrogen max,median_income_2020
0,Concord,4/1/20,6.043478,95066
1,Concord,3/1/20,10.030435,95066
2,Concord,2/1/20,16.356522,95066
3,Concord,5/1/20,4.434783,95066
4,Concord,1/1/20,14.413043,95066
5,Concord,6/1/20,5.13913,95066
6,Concord,9/1/20,11.134783,95066
7,Concord,8/1/20,6.682609,95066
8,Concord,10/1/20,13.252174,95066
9,Concord,11/1/20,15.447826,95066
10,Concord,12/1/20,20.085714,95066
11,Concord,7/1/20,4.273913,95066
12,Livermore,2/1/20,20.813043,135016
13,Livermore,10/1/20,24.088889,135016
14,Livermore,9/1/20,15.547826,135016
15,Livermore,8/1/20,11.417391,135016
16,Livermore,7/1/20,5.369565,135016
17,Livermore,6/1/20,8.226087,135016
18,Livermore,5/1/20,9.834783,135016
19,Livermore,4/1/20,7.930435,135016
20,Livermore,3/1/20,18.013043,135016
21,Livermore,1/1/20,16.6,135016
22,Livermore,12/1/20,25.565217,135016
23,Livermore,11/1/20,22.76087,135016
24,Napa,11/1/20,13.305,88141
25,Napa,9/1/20,9.469565,88141
26,Napa,8/1/20,6.095652,88141
27,Napa,7/1/20,3.617391,88141
28,Napa,6/1/20,4.369565,88141
29,Napa,5/1/20,6.8,88141
30,Napa,4/1/20,4.443478,88141
31,Napa,3/1/20,9.713043,88141
32,Napa,2/1/20,11.978261,88141
33,Napa,1/1/20,10.208696,88141
34,Napa,10/1/20,14.747826,88141
35,Napa,12/1/20,17.069565,88141
36,Oakland,12/1/20,38.33913,82183
37,Oakland,8/1/20,18.030435,82183
38,Oakland,11/1/20,28.165217,82183
39,Oakland,10/1/20,27.769565,82183
40,Oakland,9/1/20,20.726087,82183
41,Oakland,1/1/20,30.6,82183
42,Oakland,7/1/20,10.843478,82183
43,Oakland,5/1/20,14.647826,82183
44,Oakland,4/1/20,16.165217,82183
45,Oakland,3/1/20,24.291304,82183
46,Oakland,2/1/20,33.213043,82183
47,Oakland,6/1/20,15.130435,82183
48,Pleasanton,3/1/20,19.956522,164780
49,Pleasanton,4/1/20,14.108696,164780
50,Pleasanton,5/1/20,15.621739,164780
51,Pleasanton,6/1/20,15.291304,164780
52,Pleasanton,7/1/20,15.526087,164780
53,Pleasanton,9/1/20,23.347826,164780
54,Pleasanton,10/1/20,33.93913,164780
55,Pleasanton,11/1/20,28.191304,164780
56,Pleasanton,12/1/20,31.291304,164780
57,Pleasanton,2/1/20,25.23913,164780
58,Pleasanton,8/1/20,20.591304,164780
59,Pleasanton,1/1/20,21.33913,164780
60,Redwood City,1/1/20,17.608696,126433
61,Redwood City,2/1/20,23.311111,126433
62,Redwood City,3/1/20,14.859091,126433
63,Redwood City,4/1/20,8.1,126433
64,Redwood City,5/1/20,7.943478,126433
65,Redwood City,6/1/20,7.278261,126433
66,Redwood City,7/1/20,4.782609,126433
67,Redwood City,8/1/20,9.804348,126433
68,Redwood City,9/1/20,12.265217,126433
