city_index,city,ozone_month,ozone_max,median_income_2020
0,Concord,9/1/20,0.050294,95066
1,Concord,10/1/20,0.037824,95066
2,Concord,6/1/20,0.041059,95066
3,Concord,12/1/20,0.025412,95066
4,Concord,11/1/20,0.035174,95066
5,Concord,1/1/20,0.034217,95066
6,Concord,2/1/20,0.041882,95066
7,Concord,3/1/20,0.042176,95066
8,Concord,4/1/20,0.042588,95066
9,Concord,5/1/20,0.048471,95066
10,Concord,7/1/20,0.040957,95066
11,Concord,8/1/20,0.046765,95066
12,Fairfield,4/1/20,0.041522,88399
13,Fairfield,5/1/20,0.049353,88399
14,Fairfield,6/1/20,0.038235,88399
15,Fairfield,3/1/20,0.041824,88399
16,Fairfield,8/1/20,0.045765,88399
17,Fairfield,9/1/20,0.053176,88399
18,Fairfield,2/1/20,0.040235,88399
19,Fairfield,10/1/20,0.045471,88399
20,Fairfield,7/1/20,0.038765,88399
21,Fairfield,1/1/20,0.034294,88399
22,Fairfield,12/1/20,0.031478,88399
23,Fairfield,11/1/20,0.040588,88399
24,Gilroy,3/1/20,0.037,110472
25,Gilroy,1/1/20,0.026118,110472
26,Gilroy,12/1/20,0.026176,110472
27,Gilroy,11/1/20,0.035739,110472
28,Gilroy,10/1/20,0.045471,110472
29,Gilroy,9/1/20,0.063529,110472
30,Gilroy,8/1/20,0.044059,110472
31,Gilroy,7/1/20,0.038706,110472
32,Gilroy,6/1/20,0.041765,110472
33,Gilroy,5/1/20,0.049588,110472
34,Gilroy,4/1/20,0.041353,110472
35,Gilroy,2/1/20,0.035588,110472
36,Hayward,1/1/20,0.036304,93819
37,Hayward,2/1/20,0.048824,93819
38,Hayward,3/1/20,0.044765,93819
39,Hayward,11/1/20,0.059353,93819
40,Hayward,10/1/20,0.057059,93819
41,Hayward,9/1/20,0.072706,93819
42,Hayward,8/1/20,0.041913,93819
43,Hayward,12/1/20,0.042,93819
44,Hayward,6/1/20,0.044059,93819
45,Hayward,5/1/20,0.050174,93819
46,Hayward,4/1/20,0.045412,93819
47,Hayward,7/1/20,0.038609,93819
48,Healdsburg,9/1/20,,91511
49,Healdsburg,8/1/20,,91511
50,Healdsburg,12/1/20,,91511
51,Healdsburg,6/1/20,,91511
52,Healdsburg,5/1/20,,91511
53,Healdsburg,4/1/20,,91511
54,Healdsburg,3/1/20,,91511
55,Healdsburg,2/1/20,,91511
56,Healdsburg,1/1/20,0.033412,91511
57,Healdsburg,10/1/20,,91511
58,Healdsburg,7/1/20,,91511
59,Healdsburg,11/1/20,,91511
60,Livermore,6/1/20,0.040941,135016
61,Livermore,10/1/20,0.036783,135016
62,Livermore,9/1/20,0.046529,135016
63,Livermore,8/1/20,0.045765,135016
64,Livermore,7/1/20,0.04,135016
65,Livermore,5/1/20,0.049941,135016
66,Livermore,4/1/20,0.041882,135016
67,Livermore,3/1/20,0.043824,135016
68,Livermore,2/1/20,0.043071,135016
69,Livermore,1/1/20,0.033391,135016
70,Livermore,11/1/20,0.036882,135016
71,Livermore,12/1/20,0.03,135016
72,Los Gatos,12/1/20,0.034294,160248
73,Los Gatos,8/1/20,0.038739,160248
74,Los Gatos,7/1/20,0.036826,160248
75,Los Gatos,6/1/20,0.038882,160248
76,Los Gatos,5/1/20,0.044706,160248
77,Los Gatos,11/1/20,0.047941,160248
78,Los Gatos,4/1/20,0.039059,160248
79,Los Gatos,3/1/20,0.037529,160248
80,Los Gatos,2/1/20,0.035176,160248
81,Los Gatos,1/1/20,0.033609,160248
82,Los Gatos,10/1/20,0.049588,160248
83,Los Gatos,9/1/20,0.064059,160248
84,Napa,2/1/20,0.039588,88141
85,Napa,12/1/20,0.03219,88141
86,Napa,11/1/20,0.039353,88141
87,Napa,10/1/20,0.041857,88141
88,Napa,9/1/20,0.044412,88141
89,Napa,8/1/20,0.038235,88141
90,Napa,7/1/20,0.034739,88141
91,Napa,6/1/20,0.037353,88141
92,Napa,4/1/20,0.039565,88141
93,Napa,3/1/20,0.04087,88141
94,Napa,1/1/20,0.034765,88141
95,Napa,5/1/20,0.045588,88141
96,Oakland,11/1/20,0.038118,82183
97,Oakland,12/1/20,0.031412,82183
98,Oakland,5/1/20,0.038696,82183
99,Oakland,2/1/20,0.039235,82183
100,Oakland,3/1/20,0.044824,82183
101,Oakland,4/1/20,0.040783,82183
102,Oakland,6/1/20,0.031706,82183
103,Oakland,7/1/20,0.031059,82183
104,Oakland,8/1/20,0.029059,82183
105,Oakland,9/1/20,0.04,82183
106,Oakland,10/1/20,0.035176,82183
107,Oakland,1/1/20,0.031471,82183
108,Redwood City,1/1/20,0.033412,126433
109,Redwood City,2/1/20,0.040529,126433
110,Redwood City,3/1/20,0.039941,126433
111,Redwood City,5/1/20,0.043529,126433
112,Redwood City,4/1/20,0.038824,126433
113,Redwood City,7/1/20,0.032391,126433
114,Redwood City,6/1/20,0.034,126433
115,Redwood City,12/1/20,0.031588,126433
116,Redwood City,11/1/20,0.035478,126433
