city_index,city,pm25_month,pm25_max,median_income_2020
0,Concord,8/1/20,80.92,95066.00
1,Concord,7/1/20,12.88,95066
2,Concord,5/1/20,8.96,95066
3,Concord,4/1/20,10.21,95066
4,Concord,3/1/20,11.58,95066
5,Concord,2/1/20,17,95066
6,Concord,1/1/20,18.33,95066
7,Concord,6/1/20,11.58,95066
8,Concord,10/1/20,96.33,95066
9,Concord,11/1/20,19.25,95066
10,Concord,12/1/20,24.29,95066
11,Concord,9/1/20,121.4,95066
12,Gilroy,12/1/20,20.38,110472
13,Gilroy,10/1/20,79.75,110472
14,Gilroy,9/1/20,102.54,110472
15,Gilroy,8/1/20,73.42,110472
16,Gilroy,7/1/20,27.83,110472
17,Gilroy,2/1/20,14.54,110472
18,Gilroy,1/1/20,12.63,110472
19,Gilroy,6/1/20,11.14,110472
20,Gilroy,5/1/20,8.52,110472
21,Gilroy,4/1/20,7.75,110472
22,Gilroy,3/1/20,10.17,110472
23,Gilroy,11/1/20,15.83,110472
24,Livermore,10/1/20,95.75,135016
25,Livermore,12/1/20,26.92,135016
26,Livermore,11/1/20,25.46,135016
27,Livermore,1/1/20,16.08,135016
28,Livermore,2/1/20,14.63,135016
29,Livermore,3/1/20,11,135016
30,Livermore,4/1/20,10.3,135016
31,Livermore,5/1/20,8.33,135016
32,Livermore,6/1/20,8.17,135016
33,Livermore,7/1/20,13.63,135016
34,Livermore,8/1/20,99.92,135016
35,Livermore,9/1/20,122.04,135016
36,Napa,11/1/20,17,88141
37,Napa,10/1/20,148.58,88141
38,Napa,9/1/20,91.75,88141
39,Napa,8/1/20,51.29,88141
40,Napa,7/1/20,12.67,88141
41,Napa,6/1/20,12.88,88141
42,Napa,5/1/20,8.29,88141
43,Napa,4/1/20,9.58,88141
44,Napa,3/1/20,11.75,88141
45,Napa,2/1/20,13.42,88141
46,Napa,1/1/20,16.21,88141
47,Napa,12/1/20,20.71,88141
48,Oakland,6/1/20,15.96,82183
49,Oakland,12/1/20,35.25,82183
50,Oakland,11/1/20,27.58,82183
51,Oakland,10/1/20,75.79,82183
52,Oakland,9/1/20,167.71,82183
53,Oakland,8/1/20,46.71,82183
54,Oakland,7/1/20,41.13,82183
55,Oakland,5/1/20,13.63,82183
56,Oakland,4/1/20,12.87,82183
57,Oakland,3/1/20,12.67,82183
58,Oakland,2/1/20,19.08,82183
59,Oakland,1/1/20,21.75,82183
60,Pleasanton,12/1/20,23.88,164780
61,Pleasanton,11/1/20,20.08,164780
62,Pleasanton,1/1/20,15.33,164780
63,Pleasanton,10/1/20,103.96,164780
64,Pleasanton,9/1/20,123.82,164780
65,Pleasanton,8/1/20,96.54,164780
66,Pleasanton,7/1/20,20,164780
67,Pleasanton,6/1/20,9.5,164780
68,Pleasanton,4/1/20,12.71,164780
69,Pleasanton,3/1/20,12.42,164780
70,Pleasanton,2/1/20,16.25,164780
71,Pleasanton,5/1/20,10.5,164780
72,Redwood City,2/1/20,17.21,126433
73,Redwood City,1/1/20,12.58,126433
74,Redwood City,3/1/20,11.71,126433
75,Redwood City,5/1/20,10.58,126433
76,Redwood City,7/1/20,16.21,126433
77,Redwood City,8/1/20,51.63,126433
78,Redwood City,9/1/20,124.17,126433
79,Redwood City,10/1/20,47.04,126433
80,Redwood City,11/1/20,21.42,126433
81,Redwood City,12/1/20,21.58,126433
82,Redwood City,4/1/20,9.61,126433
83,Redwood City,6/1/20,11.46,126433
84,San Francisco,3/1/20,13.38,122169
85,San Francisco,4/1/20,12.96,122169
86,San Francisco,5/1/20,15.08,122169
87,San Francisco,6/1/20,18,122169
88,San Francisco,7/1/20,23,122169
89,San Francisco,8/1/20,39.79,122169
90,San Francisco,9/1/20,147.33,122169
91,San Francisco,10/1/20,47.21,122169
92,San Francisco,11/1/20,18.25,122169
93,San Francisco,2/1/20,19.92,122169
94,San Francisco,1/1/20,16.33,122169
95,San Francisco,12/1/20,28.71,122169
96,San Jose,11/1/20,31.58,120311
97,San Jose,1/1/20,18.96,120311
98,San Jose,2/1/20,18.79,120311
99,San Jose,3/1/20,12.46,120311
100,San Jose,4/1/20,20.1,120311
101,San Jose,5/1/20,10.54,120311
102,San Jose,12/1/20,37.04,120311
103,San Jose,7/1/20,23.67,120311
104,San Jose,8/1/20,85.38,120311
105,San Jose,9/1/20,123.13,120311
106,San Jose,10/1/20,79,120311
107,San Jose,6/1/20,13.63,120311
108,San Pablo,1/1/20,17.54,62367
109,San Pablo,10/1/20,50,62367
110,San Pablo,9/1/20,145.5,62367
111,San Pablo,8/1/20,36.42,62367
112,San Pablo,7/1/20,22.88,62367
113,San Pablo,6/1/20,16.29,62367
114,San Pablo,5/1/20,15.96,62367
115,San Pablo,4/1/20,14.42,62367
116,San Pablo,3/1/20,16.54,62367
117,San Pablo,2/1/20,15,62367
118,San Pablo,12/1/20,21.25,62367
119,San Pablo,11/1/20,21.38,62367
120,San Rafael,6/1/20,13.04,99479
121,San Rafael,12/1/20,20.25,99479
122,San Rafael,11/1/20,18.83,99479
123,San Rafael,10/1/20,50.58,99479
124,San Rafael,8/1/20,40.96,99479
125,San Rafael,7/1/20,11.46,99479
126,San Rafael,9/1/20,155.54,99479
127,San Rafael,4/1/20,10.18,99479
128,San Rafael,3/1/20,11.17,99479
129,San Rafael,2/1/20,13.88,99479
130,San Rafael,1/1/20,16,99479
131,San Rafael,5/1/20,9.58,99479
132,Sebastopol,8/1/20,34,85991
133,Sebastopol,12/1/20,16.96,85991
134,Sebastopol,11/1/20,13,85991
135,Sebastopol,10/1/20,58.92,85991
136,Sebastopol,9/1/20,124.33,85991
137,Sebastopol,7/1/20,12.57,85991
138,Sebastopol,2/1/20,10.26,85991
139,Sebastopol,5/1/20,7.38,85991
140,Sebastopol,4/1/20,7.83,85991
141,Sebastopol,3/1/20,9.29,85991
142,Sebastopol,1/1/20,16.33,85991
