,city,month,nitrogen max
196,Bethel Island,2020-05-01,5.878261
203,Bethel Island,2020-12-01,16.013043
202,Bethel Island,2020-11-01,11.852174
201,Bethel Island,2020-10-01,12.877273
200,Bethel Island,2020-09-01,9.63913
199,Bethel Island,2020-08-01,5.434783
198,Bethel Island,2020-07-01,3.595652
197,Bethel Island,2020-06-01,3.954167
195,Bethel Island,2020-04-01,5.321739
194,Bethel Island,2020-03-01,11.052174
193,Bethel Island,2020-02-01,11.678261
192,Bethel Island,2020-01-01,11.56087
183,Concord,2020-04-01,6.043478
182,Concord,2020-03-01,10.030435
181,Concord,2020-02-01,16.356522
184,Concord,2020-05-01,4.434783
180,Concord,2020-01-01,14.413043
185,Concord,2020-06-01,5.13913
188,Concord,2020-09-01,11.134783
187,Concord,2020-08-01,6.682609
189,Concord,2020-10-01,13.252174
190,Concord,2020-11-01,15.447826
191,Concord,2020-12-01,20.085714
186,Concord,2020-07-01,4.273913
133,Livermore,2020-02-01,20.813043
141,Livermore,2020-10-01,24.088889
140,Livermore,2020-09-01,15.547826
139,Livermore,2020-08-01,11.417391
138,Livermore,2020-07-01,5.369565
137,Livermore,2020-06-01,8.226087
136,Livermore,2020-05-01,9.834783
135,Livermore,2020-04-01,7.930435
134,Livermore,2020-03-01,18.013043
132,Livermore,2020-01-01,16.6
143,Livermore,2020-12-01,25.565217
142,Livermore,2020-11-01,22.76087
118,Napa,2020-11-01,13.305
116,Napa,2020-09-01,9.469565
115,Napa,2020-08-01,6.095652
114,Napa,2020-07-01,3.617391
113,Napa,2020-06-01,4.369565
112,Napa,2020-05-01,6.8
111,Napa,2020-04-01,4.443478
110,Napa,2020-03-01,9.713043
109,Napa,2020-02-01,11.978261
108,Napa,2020-01-01,10.208696
117,Napa,2020-10-01,14.747826
119,Napa,2020-12-01,17.069565
41,Not in a city,2020-06-01,14.9
47,Not in a city,2020-12-01,38.03913
36,Not in a city,2020-01-01,25.478261
37,Not in a city,2020-02-01,29.56
38,Not in a city,2020-03-01,23.147826
40,Not in a city,2020-05-01,15.665217
39,Not in a city,2020-04-01,15.452174
43,Not in a city,2020-08-01,18.152174
44,Not in a city,2020-09-01,19.926087
45,Not in a city,2020-10-01,29.195652
46,Not in a city,2020-11-01,29.544444
42,Not in a city,2020-07-01,10.156522
155,Oakland,2020-12-01,38.33913
151,Oakland,2020-08-01,18.030435
154,Oakland,2020-11-01,28.165217
153,Oakland,2020-10-01,27.769565
152,Oakland,2020-09-01,20.726087
144,Oakland,2020-01-01,30.6
150,Oakland,2020-07-01,10.843478
148,Oakland,2020-05-01,14.647826
