,city,month,ozone max
382,Arden-Arcade,2020-11-01,0.036529
372,Arden-Arcade,2020-01-01,0.031235
373,Arden-Arcade,2020-02-01,0.035353
374,Arden-Arcade,2020-03-01,0.042647
375,Arden-Arcade,2020-04-01,0.042588
376,Arden-Arcade,2020-05-01,0.045882
383,Arden-Arcade,2020-12-01,0.0245
378,Arden-Arcade,2020-07-01,0.044882
379,Arden-Arcade,2020-08-01,0.051941
380,Arden-Arcade,2020-09-01,0.0544
381,Arden-Arcade,2020-10-01,0.044235
377,Arden-Arcade,2020-06-01,0.050059
360,Auburn,2020-01-01,0.035765
369,Auburn,2020-10-01,0.06
368,Auburn,2020-09-01,0.067118
367,Auburn,2020-08-01,0.079125
366,Auburn,2020-07-01,0.058824
365,Auburn,2020-06-01,0.058765
364,Auburn,2020-05-01,0.061353
363,Auburn,2020-04-01,0.046294
362,Auburn,2020-03-01,0.046
361,Auburn,2020-02-01,0.045118
370,Auburn,2020-11-01,0.043471
371,Auburn,2020-12-01,0.033292
262,Bethel Island,2020-11-01,0.035765
263,Bethel Island,2020-12-01,0.03087
252,Bethel Island,2020-01-01,0.027882
253,Bethel Island,2020-02-01,0.043143
254,Bethel Island,2020-03-01,0.041235
256,Bethel Island,2020-05-01,0.048706
255,Bethel Island,2020-04-01,0.048765
258,Bethel Island,2020-07-01,0.040957
259,Bethel Island,2020-08-01,0.045529
260,Bethel Island,2020-09-01,0.053765
261,Bethel Island,2020-10-01,0.042412
257,Bethel Island,2020-06-01,0.042706
104,Carmel Valley Village,2020-09-01,0.049294
107,Carmel Valley Village,2020-12-01,0.032
106,Carmel Valley Village,2020-11-01,0.031875
105,Carmel Valley Village,2020-10-01,0.046
103,Carmel Valley Village,2020-08-01,0.0378
98,Carmel Valley Village,2020-03-01,0.035176
101,Carmel Valley Village,2020-06-01,0.037882
100,Carmel Valley Village,2020-05-01,0.042824
99,Carmel Valley Village,2020-04-01,0.038294
96,Carmel Valley Village,2020-01-01,0.02825
102,Carmel Valley Village,2020-07-01,0.033833
97,Carmel Valley Village,2020-02-01,0.039294
248,Concord,2020-09-01,0.050294
249,Concord,2020-10-01,0.037824
245,Concord,2020-06-01,0.041059
251,Concord,2020-12-01,0.025412
250,Concord,2020-11-01,0.035174
240,Concord,2020-01-01,0.034217
241,Concord,2020-02-01,0.041882
242,Concord,2020-03-01,0.042176
243,Concord,2020-04-01,0.042588
244,Concord,2020-05-01,0.048471
246,Concord,2020-07-01,0.040957
247,Concord,2020-08-01,0.046765
159,Fairfield,2020-04-01,0.041522
160,Fairfield,2020-05-01,0.049353
161,Fairfield,2020-06-01,0.038235
158,Fairfield,2020-03-01,0.041824
163,Fairfield,2020-08-01,0.045765
164,Fairfield,2020-09-01,0.053176
157,Fairfield,2020-02-01,0.040235
165,Fairfield,2020-10-01,0.045471
162,Fairfield,2020-07-01,0.038765
156,Fairfield,2020-01-01,0.034294
167,Fairfield,2020-12-01,0.031478
166,Fairfield,2020-11-01,0.040588
404,Folsom,2020-09-01,
403,Folsom,2020-08-01,
406,Folsom,2020-11-01,
402,Folsom,2020-07-01,
400,Folsom,2020-05-01,
399,Folsom,2020-04-01,
398,Folsom,2020-03-01,
397,Folsom,2020-02-01,
396,Folsom,2020-01-01,
407,Folsom,2020-12-01,0.029542
405,Folsom,2020-10-01,
401,Folsom,2020-06-01,
50,Gilroy,2020-03-01,0.037
48,Gilroy,2020-01-01,0.026118
59,Gilroy,2020-12-01,0.026176
58,Gilroy,2020-11-01,0.035739
57,Gilroy,2020-10-01,0.045471
56,Gilroy,2020-09-01,0.063529
55,Gilroy,2020-08-01,0.044059
54,Gilroy,2020-07-01,0.038706
53,Gilroy,2020-06-01,0.041765
52,Gilroy,2020-05-01,0.049588
51,Gilroy,2020-04-01,0.041353
49,Gilroy,2020-02-01,0.035588
264,Hayward,2020-01-01,0.036304
265,Hayward,2020-02-01,0.048824
266,Hayward,2020-03-01,0.044765
274,Hayward,2020-11-01,0.059353
273,Hayward,2020-10-01,0.057059
272,Hayward,2020-09-01,0.072706
271,Hayward,2020-08-01,0.041913
275,Hayward,2020-12-01,0.042
269,Hayward,2020-06-01,0.044059
268,Hayward,2020-05-01,0.050174
267,Hayward,2020-04-01,0.045412
270,Hayward,2020-07-01,0.038609
308,Healdsburg,2020-09-01,
307,Healdsburg,2020-08-01,
311,Healdsburg,2020-12-01,
305,Healdsburg,2020-06-01,
304,Healdsburg,2020-05-01,
303,Healdsburg,2020-04-01,
302,Healdsburg,2020-03-01,
301,Healdsburg,2020-02-01,
300,Healdsburg,2020-01-01,0.033412
309,Healdsburg,2020-10-01,
306,Healdsburg,2020-07-01,
310,Healdsburg,2020-11-01,
277,Hollister,2020-02-01,0.039412
278,Hollister,2020-03-01,0.040176
279,Hollister,2020-04-01,0.038235
280,Hollister,2020-05-01,0.048471
281,Hollister,2020-06-01,0.039652
282,Hollister,2020-07-01,0.036176
283,Hollister,2020-08-01,0.039824
284,Hollister,2020-09-01,0.063588
276,Hollister,2020-01-01,0.035118
285,Hollister,2020-10-01,0.049118
287,Hollister,2020-12-01,0.033235
286,Hollister,2020-11-01,0.039958
212,King City,2020-09-01,0.038
211,King City,2020-08-01,0.033176
210,King City,2020-07-01,0.033059
208,King City,2020-05-01,0.038471
207,King City,2020-04-01,0.038706
206,King City,2020-03-01,0.038059
205,King City,2020-02-01,0.038471
214,King City,2020-11-01,0.035733
215,King City,2020-12-01,0.034235
213,King City,2020-10-01,0.036294
204,King City,2020-01-01,0.030118
209,King City,2020-06-01,0.035706
331,Lincoln,2020-08-01,0.068647
326,Lincoln,2020-03-01,0.039294
327,Lincoln,2020-04-01,0.041588
328,Lincoln,2020-05-01,0.049882
329,Lincoln,2020-06-01,0.047471
330,Lincoln,2020-07-01,0.049529
332,Lincoln,2020-09-01,0.058294
333,Lincoln,2020-10-01,0.046235
334,Lincoln,2020-11-01,0.042294
325,Lincoln,2020-02-01,0.035706
335,Lincoln,2020-12-01,0.026625
324,Lincoln,2020-01-01,0.033294
82,Live Oak,2020-11-01,0.032833
72,Live Oak,2020-01-01,0.030765
73,Live Oak,2020-02-01,0.037
74,Live Oak,2020-03-01,0.039083
80,Live Oak,2020-09-01,0.035588
75,Live Oak,2020-04-01,0.035882
76,Live Oak,2020-05-01,0.040353
77,Live Oak,2020-06-01,0.032882
78,Live Oak,2020-07-01,0.029625
79,Live Oak,2020-08-01,0.030412
83,Live Oak,2020-12-01,0.035471
81,Live Oak,2020-10-01,0.040941
185,Livermore,2020-06-01,0.040941
189,Livermore,2020-10-01,0.036783
188,Livermore,2020-09-01,0.046529
187,Livermore,2020-08-01,0.045765
186,Livermore,2020-07-01,0.04
184,Livermore,2020-05-01,0.049941
183,Livermore,2020-04-01,0.041882
182,Livermore,2020-03-01,0.043824
181,Livermore,2020-02-01,0.043071
180,Livermore,2020-01-01,0.033391
190,Livermore,2020-11-01,0.036882
191,Livermore,2020-12-01,0.03
35,Los Gatos,2020-12-01,0.034294
31,Los Gatos,2020-08-01,0.038739
30,Los Gatos,2020-07-01,0.036826
29,Los Gatos,2020-06-01,0.038882
28,Los Gatos,2020-05-01,0.044706
34,Los Gatos,2020-11-01,0.047941
27,Los Gatos,2020-04-01,0.039059
26,Los Gatos,2020-03-01,0.037529
25,Los Gatos,2020-02-01,0.035176
24,Los Gatos,2020-01-01,0.033609
33,Los Gatos,2020-10-01,0.049588
32,Los Gatos,2020-09-01,0.064059
121,Napa,2020-02-01,0.039588
131,Napa,2020-12-01,0.03219
130,Napa,2020-11-01,0.039353
129,Napa,2020-10-01,0.041857
128,Napa,2020-09-01,0.044412
127,Napa,2020-08-01,0.038235
126,Napa,2020-07-01,0.034739
125,Napa,2020-06-01,0.037353
123,Napa,2020-04-01,0.039565
122,Napa,2020-03-01,0.04087
120,Napa,2020-01-01,0.034765
124,Napa,2020-05-01,0.045588
142,Not in a city,2020-11-01,0.044167
141,Not in a city,2020-10-01,0.064059
140,Not in a city,2020-09-01,0.063846
139,Not in a city,2020-08-01,0.071471
138,Not in a city,2020-07-01,0.059
143,Not in a city,2020-12-01,0.039294
137,Not in a city,2020-06-01,0.053706
136,Not in a city,2020-05-01,0.052647
135,Not in a city,2020-04-01,0.046294
134,Not in a city,2020-03-01,0.043706
132,Not in a city,2020-01-01,0.032667
133,Not in a city,2020-02-01,0.043353
202,Oakland,2020-11-01,0.038118
203,Oakland,2020-12-01,0.031412
196,Oakland,2020-05-01,0.038696
193,Oakland,2020-02-01,0.039235
194,Oakland,2020-03-01,0.044824
195,Oakland,2020-04-01,0.040783
197,Oakland,2020-06-01,0.031706
198,Oakland,2020-07-01,0.031059
199,Oakland,2020-08-01,0.029059
200,Oakland,2020-09-01,0.04
201,Oakland,2020-10-01,0.035176
192,Oakland,2020-01-01,0.031471
12,Redwood City,2020-01-01,0.033412
13,Redwood City,2020-02-01,0.040529
14,Redwood City,2020-03-01,0.039941
16,Redwood City,2020-05-01,0.043529
15,Redwood City,2020-04-01,0.038824
18,Redwood City,2020-07-01,0.032391
17,Redwood City,2020-06-01,0.034
23,Redwood City,2020-12-01,0.031588
22,Redwood City,2020-11-01,0.035478
20,Redwood City,2020-09-01,0.043118
19,Redwood City,2020-08-01,0.028118
