city,2020median_income
Atherton,256366.00
Hillsborough,256366.00
Los Altos Hills,256366.00
Monte Sereno,256366.00
Piedmont,256366.00
Woodside,256366.00
Belvedere,254076.00
Los Altos,246207.00
Portola Valley,241464.00
Orinda,237117.00
Ross,226333.00
Saratoga,206164.00
San Carlos,194570.00
Lafayette,192930.00
Cupertino,187512.00
Tiburon,182660.00
Palo Alto,178433.00
Mill Valley,175298.00
Danville,172100.00
Menlo Park,171833.00
San Ramon,171605.00
Foster City,167480.00
Pleasanton,164780.00
Belmont,164121.00
Los Gatos,160248.00
Clayton,157518.00
Corte Madera,156999.00
Moraga,156678.00
Dublin,156634.00
Sunnyvale,154295.00
San Anselmo,149901.00
Mountain View,147785.00
Fremont,145999.00
Burlingame,141866.00
Milpitas,140488.00
Santa Clara,140355.00
Livermore,135016.00
Half Moon Bay,134574.00
Pacifica,133788.00
Morgan Hill,131641.00
Newark,130868.00
Millbrae,129535.00
San Mateo,129312.00
Pleasant Hill,128770.00
Redwood City,126433.00
Campbell,125766.00
Sausalito,123998.00
Union City,123847.00
San Francisco,122169.00
Colma,121773.00
Windsor,120525.00
San Jose,120311.00
Larkspur,118485.00
Brisbane,117500.00
Brentwood,116182.00
San Bruno,115982.00
Hercules,113487.00
Martinez,112794.00
American Canyon,111656.00
Walnut Creek,111456.00
El Cerrito,111051.00
Gilroy,110472.00
Benicia,109713.00
Alameda,109454.00
Fairfax,109185.00
South San Francisco,108704.00
Pinole,107575.00
Emeryville,106712.00
Oakley,106188.00
St. Helena,106086.00
Albany,105758.00
Novato,104216.00
Daly City,102454.00
San Rafael,99479.00
Vacaville,95666.00
Petaluma,95124.00
Concord,95066.00
Hayward,93819.00
Berkeley,93582.00
Healdsburg,91511.00
Cotati,89196.00
San Leandro,88809.00
Fairfield,88399.00
Napa,88141.00
Sonoma,87686.00
Sebastopol,85991.00
East Palo Alto,85637.00
Pittsburg,85280.00
Suisun City,84421.00
Cloverdale,82956.00
Santa Rosa,82521.00
Antioch,82277.00
Oakland,82183.00
Dixon,81488.00
Rohnert Park,79812.00
Vallejo,75750.00
Richmond,74308.00
Calistoga,72760.00
Rio Vista,71662.00
Yountville,67187.00
San Pablo,62367.00
,
