carbon_city,carbon_county,carbon_mean,carbon_method,carbon_site,carbon_date
Redwood City,San Mateo,0.373913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-01
Redwood City,San Mateo,0.55,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-02
Redwood City,San Mateo,0.673913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-03
Redwood City,San Mateo,0.447826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-04
Redwood City,San Mateo,0.395652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-05
Redwood City,San Mateo,0.556522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-06
Redwood City,San Mateo,0.526087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-07
Redwood City,San Mateo,0.530435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-08
Redwood City,San Mateo,0.404348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-09
Redwood City,San Mateo,0.586957,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-10
Redwood City,San Mateo,0.404348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-11
Redwood City,San Mateo,0.4,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-12
Redwood City,San Mateo,0.421739,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-13
Redwood City,San Mateo,0.46087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-14
Redwood City,San Mateo,0.530435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-15
Redwood City,San Mateo,0.417391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-16
Redwood City,San Mateo,0.591304,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-17
Redwood City,San Mateo,0.517391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-18
Redwood City,San Mateo,0.6,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-19
Redwood City,San Mateo,0.695652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-20
Redwood City,San Mateo,0.385714,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-21
Redwood City,San Mateo,0.447826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-22
Redwood City,San Mateo,0.595652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-23
Redwood City,San Mateo,0.595652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-24
Redwood City,San Mateo,0.456522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-25
Redwood City,San Mateo,0.356522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-26
