name,lat,lon,city,parent_companies,CO2e_metric_tons
"Mariposa Energy, LLC",37.7965,-121.6049,Byron,MITSUBISHI CORP (AMERICAS) (100%),61710
Russell City Energy Company LLC,37.6341,-122.1326,Hayward,VOLT PARENT LP (75%); GENERAL ELECTRIC CO (25%),429884
"University of California, San Francisco - Parnassus Campus",37.762505,-122.456385,San Francisco,STATE OF CALIFORNIA (100%),52807
"Delta Energy Center, LLC",38.0167,-121.8439,PITTSBURG,VOLT PARENT LP (100%),1482392
"Los Medanos Energy Center, LLC",38.03,-121.8708,PITTSBURG,VOLT PARENT LP (100%),1257234
CROCKETT COGENERATION PLANT,38.055905,-122.214441,CROCKETT,CROCKETT COGENERATION A CALIFORNIA LP (100%),594330
MARTINEZ REFINING COMPANY LLC,38.016594,-122.115392,MARTINEZ,MARTINEZ REFINING CO LLC (100%),3228240
AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,38.032767,-122.07594,MARTINEZ,AIR PRODUCTS & CHEMICALS INC (100%),526495
"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",38.026667,-122.067222,MARTINEZ,AIR PRODUCTS & CHEMICALS INC (100%),87289
"United Airlines, Inc.",37.623908,-122.381592,SAN FRANCISCO,UNITED CONTINENTAL HOLDINGS INC (100%),26884
CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,RICHMOND,CHEVRON CORP (100%),4136302
GENENTECH INCORPORATED,37.65701,-122.37822,SOUTH SAN FRANCISCO,ROCHE HOLDINGS INC (100%),29401
AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,38.047952,-122.256895,RODEO,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),881232
WASTE MANAGEMENT INC Oyster Bay,37.71447,-122.19347,SAN LEANDRO,WASTE MANAGEMENT INC (100%),2105
ENERGY CENTER SAN FRANCISCO,37.78203,-122.40841,SAN FRANCISCO,CLEARWAY ENERGY GROUP LLC (100%),49264
MARTINEZ COGEN LIMITED PARTNER,38.02176,-122.06579,MARTINEZ,FOSTER WHEELER POWER SYSTEMS INC (50.5%); GENERAL ELECTRIC CO (49.5%),320888
KELLER CANYON LANDFILL,38.006584,-121.941018,PITTSBURG,REPUBLIC SERVICES INC (100%),123744
"USS-UPI, LLC",38.02305,-121.85565,PITTSBURG,US STEEL CORP (100%),35226
UNITED STATES PIPE & FOUNDRY CO LLC,37.60599,-122.04237,UNION CITY,FORTERRA US HOLDINGS LLC (100%),40806
PACIFIC GAS AND ELECTRIC COMPANY,37.79134,-122.39604,SAN FRANCISCO,PG&E CORP (100%),281735
CONTRA COSTA SANITARY LANDFILL,37.9875,-121.8453,ANTIOCH,TRC SOLUTIONS INC (100%),16915
SAN FRANCISCO REFINERY AT RODEO,38.0436,-122.2532,RODEO,PHILLIPS 66 (100%),1308636
VASCO ROAD LANDFILL,37.7531,-121.7229,LIVERMORE,REPUBLIC SERVICES INC (100%),31559
Ox Mountain Sanitary Landfill,37.4992,-122.411,HALF MOON BAY,REPUBLIC SERVICES INC (100%),143584
Martinez Renewable Fuel Facility,38.025314,-122.064181,MARTINEZ,MARATHON PETROLEUM CORP (100%),776026
PG&E GATEWAY GENERATING STATION,38.0167,-121.7592,ANTIOCH,PG&E CORP (100%),1143646
REDWOOD LANDFILL,38.15728,-122.56884,NOVATO,WASTE MANAGEMENT INC (100%),101985
Altamont Landfill & Resource Recovery Facility,37.723116,-121.682053,Livermore,WASTE MANAGEMENT INC (100%),166423
Corteva agriscience - Pittsburg Operations,38.023129,-121.855352,PITTSBURG,CORTEVA INC (100%),40856
TRI-CITIES RECYCLING,37.49548,-121.98914,FREMONT,WASTE MANAGEMENT INC (100%),5771
745 San Joaquin Basin Chevron USA Inc.,37.795963,-122.022317,San Ramon,CHEVRON CORP (100%),12725
Chevron MCA 430 Permian Basin,37.795963,-122.022317,San Ramon,CHEVRON CORP (100%),242500
San Juan Basin,37.795963,-122.022317,Farmington,ENDURING RESOURCES LLC (100%),70512
Pacific Gas and Electric Company (PG&E) - SF6 Emissions,37.79134,-122.39604,San Francisco,PG&E CORP (100%),27337
Georgia-Pacific Gypsum LLC,38.0134,-121.79162,Antioch,KOCH INDUSTRIES INC (100%),41707
Marsh Landing Generating Station,38.01231,-121.76463,Antioch,CLEARWAY ENERGY INC (100%),163981
"Tesla, Inc.",37.49629,-121.94826,Fremont,TESLA INC (100%),28076
SRI International Cogeneration Project,37.457173,-122.178049,Menlo Park,SRI INTERNATIONAL (100%),24596
San Joaquin Basin Gathering & Boosting - Chevron USA Inc.,37.7624642,-121.9814354,San Ramon,CHEVRON CORP (100%),2043460
Coastal Basin Gathering & Boosting - Chevron USA Inc.,37.75900999,-121.9604161,San Ramon,CHEVRON CORP (100%),178482
Chevron MCA 260 East Texas Basin Gathering and Boosting,37.795963,-122.022317,San Ramon,CHEVRON CORP (100%),28029
Chevron MCA 430 Permian Basin Gathering and Boosting,37.795963,-122.022317,San Ramon,CHEVRON CORP (100%),868084
Chevron MCA 595 Piceance Basin Gathering and Boosting,37.795963,-122.022317,San Ramon,CHEVRON CORP (100%),26327
PG&E Transmission Blowdown,37.79134,-122.39604,San Francisco,PG&E CORP (100%),105020
Gold Bond - RIC Plant,37.91803,-122.37299,Richmond,National Gypsum CO (100%),24969
UC Berkeley,37.871889,-122.265978,Berkeley,STATE OF CALIFORNIA (100%),124269
PABCO Building Products,37.528661,-122.02619,Newark,PACIFIC COAST BUILDING PRODUCTS INC (100%),29031
