nitrogen_city,nitrogen_county,nitrogen_mean,nitrogen_method,nitrogen_site,nitrogen_date
Redwood City,San Mateo,7.382609,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-01
Redwood City,San Mateo,14.572727,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-02
Redwood City,San Mateo,17.608696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-03
Redwood City,San Mateo,13.047826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-04
Redwood City,San Mateo,10.252174,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-05
Redwood City,San Mateo,16.321739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-06
Redwood City,San Mateo,13.421739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-07
Redwood City,San Mateo,12.191304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-08
Redwood City,San Mateo,10.46087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-09
Redwood City,San Mateo,11.343478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-10
Redwood City,San Mateo,9.83913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-11
Redwood City,San Mateo,10.595652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-12
Redwood City,San Mateo,7.434783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-13
Redwood City,San Mateo,11.482609,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-14
Redwood City,San Mateo,13.686957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-15
Redwood City,San Mateo,10.4,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-16
Redwood City,San Mateo,16.23913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-17
Redwood City,San Mateo,11.83913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-18
Redwood City,San Mateo,14.365217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-19
Redwood City,San Mateo,15.304348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-20
Redwood City,San Mateo,8.314286,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-21
Redwood City,San Mateo,11.9,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-22
Redwood City,San Mateo,14.747826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-23
Redwood City,San Mateo,13.73913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-24
Redwood City,San Mateo,9.217391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-25
Redwood City,San Mateo,6.773913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-26
Redwood City,San Mateo,10.63913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-27
Redwood City,San Mateo,11.317391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-28
Redwood City,San Mateo,13.286957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-29
Redwood City,San Mateo,14.63913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-30
Redwood City,San Mateo,13.334783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-01-31
Redwood City,San Mateo,12.604348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-01
Redwood City,San Mateo,4.243478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-02
Redwood City,San Mateo,9.130435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-03
Redwood City,San Mateo,11.152174,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-04
Redwood City,San Mateo,21.004348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-05
Redwood City,San Mateo,19.956522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-06
Redwood City,San Mateo,18.156522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-07
Redwood City,San Mateo,8.956522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-08
Redwood City,San Mateo,3.190909,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-09
Redwood City,San Mateo,18.456522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-10
Redwood City,San Mateo,23.311111,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-11
Redwood City,San Mateo,20.96087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-12
Redwood City,San Mateo,10.069565,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-13
Redwood City,San Mateo,10.121739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-14
Redwood City,San Mateo,11.604348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-15
Redwood City,San Mateo,6.06087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-16
Redwood City,San Mateo,11.934783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-17
Redwood City,San Mateo,17.377273,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-18
Redwood City,San Mateo,19.204348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-19
Redwood City,San Mateo,20.678261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-20
Redwood City,San Mateo,20.278261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-21
Redwood City,San Mateo,11.034783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-22
Redwood City,San Mateo,3.834783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-23
Redwood City,San Mateo,13.021739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-24
Redwood City,San Mateo,17.478261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-25
Redwood City,San Mateo,19.269565,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-26
Redwood City,San Mateo,20.065217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-27
Redwood City,San Mateo,16.021739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-28
Redwood City,San Mateo,3.378947,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-02-29
Redwood City,San Mateo,3.378261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-01
Redwood City,San Mateo,7.39,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-02
Redwood City,San Mateo,14.859091,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-03
Redwood City,San Mateo,13.933333,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-04
Redwood City,San Mateo,7.256522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-05
Redwood City,San Mateo,2.808696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-06
Redwood City,San Mateo,3.765217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-07
Redwood City,San Mateo,5.4,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-08
Redwood City,San Mateo,10.819048,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-09
Redwood City,San Mateo,10.0,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-10
Redwood City,San Mateo,9.617391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-11
Redwood City,San Mateo,10.043478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-12
Redwood City,San Mateo,5.956522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-13
Redwood City,San Mateo,1.717391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-14
Redwood City,San Mateo,2.482609,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-15
Redwood City,San Mateo,5.465217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-16
Redwood City,San Mateo,7.508696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-17
Redwood City,San Mateo,6.46087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-18
Redwood City,San Mateo,5.330435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-19
Redwood City,San Mateo,7.369565,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-20
Redwood City,San Mateo,5.886957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-21
Redwood City,San Mateo,5.426087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-22
Redwood City,San Mateo,4.017391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-23
Redwood City,San Mateo,4.3,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-24
Redwood City,San Mateo,5.717391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-25
Redwood City,San Mateo,5.314286,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-26
Redwood City,San Mateo,5.06087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-27
Redwood City,San Mateo,4.073913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-28
Redwood City,San Mateo,3.13913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-29
Redwood City,San Mateo,5.186957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-30
Redwood City,San Mateo,3.965217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-03-31
Redwood City,San Mateo,3.052174,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-01
Redwood City,San Mateo,6.53913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-02
Redwood City,San Mateo,5.586957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-03
Redwood City,San Mateo,3.152174,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-04
Redwood City,San Mateo,2.117391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-05
Redwood City,San Mateo,8.1,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-06
Redwood City,San Mateo,5.1,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-07
Redwood City,San Mateo,3.430435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-08
Redwood City,San Mateo,2.87619,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-09
Redwood City,San Mateo,1.3,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-11
Redwood City,San Mateo,2.943478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-10
Redwood City,San Mateo,2.513043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-12
Redwood City,San Mateo,6.965217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-14
Redwood City,San Mateo,7.021739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-15
Redwood City,San Mateo,2.230435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-16
Redwood City,San Mateo,1.03913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-17
Redwood City,San Mateo,1.330435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-18
