,city,month,carbon max
203,Arden-Arcade,2020-12-01,0.835792
202,Arden-Arcade,2020-11-01,0.970833
192,Arden-Arcade,2020-01-01,0.7125
193,Arden-Arcade,2020-02-01,0.8
195,Arden-Arcade,2020-04-01,0.245833
196,Arden-Arcade,2020-05-01,0.274333
194,Arden-Arcade,2020-03-01,0.4525
198,Arden-Arcade,2020-07-01,0.171958
199,Arden-Arcade,2020-08-01,0.9125
200,Arden-Arcade,2020-09-01,1.429167
201,Arden-Arcade,2020-10-01,0.958333
197,Arden-Arcade,2020-06-01,0.179167
147,Bethel Island,2020-04-01,0.4
144,Bethel Island,2020-01-01,0.573913
145,Bethel Island,2020-02-01,0.6125
146,Bethel Island,2020-03-01,0.543478
148,Bethel Island,2020-05-01,0.434783
152,Bethel Island,2020-09-01,1.66087
150,Bethel Island,2020-07-01,0.433333
151,Bethel Island,2020-08-01,1.1125
153,Bethel Island,2020-10-01,1.275
154,Bethel Island,2020-11-01,0.652174
155,Bethel Island,2020-12-01,0.783333
149,Bethel Island,2020-06-01,0.4
135,Concord,2020-04-01,0.3
132,Concord,2020-01-01,0.686957
133,Concord,2020-02-01,0.665217
134,Concord,2020-03-01,0.443478
136,Concord,2020-05-01,0.313043
137,Concord,2020-06-01,0.358333
138,Concord,2020-07-01,0.420833
139,Concord,2020-08-01,1.275
140,Concord,2020-09-01,1.4
141,Concord,2020-10-01,1.370833
142,Concord,2020-11-01,0.65
143,Concord,2020-12-01,0.844444
86,Napa,2020-03-01,0.445833
87,Napa,2020-04-01,0.345833
88,Napa,2020-05-01,0.4
89,Napa,2020-06-01,0.356522
90,Napa,2020-07-01,0.3
91,Napa,2020-08-01,0.743478
92,Napa,2020-09-01,1.434783
93,Napa,2020-10-01,1.879167
94,Napa,2020-11-01,0.644444
95,Napa,2020-12-01,0.708696
84,Napa,2020-01-01,0.570833
85,Napa,2020-02-01,0.579167
97,Not in a city,2020-02-01,0.908333
99,Not in a city,2020-04-01,0.708696
100,Not in a city,2020-05-01,0.591667
102,Not in a city,2020-07-01,0.458333
103,Not in a city,2020-08-01,0.713043
104,Not in a city,2020-09-01,1.573913
105,Not in a city,2020-10-01,0.958333
106,Not in a city,2020-11-01,0.843478
107,Not in a city,2020-12-01,1.1
96,Not in a city,2020-01-01,0.816667
98,Not in a city,2020-03-01,0.591304
101,Not in a city,2020-06-01,0.679167
35,Oakland,2020-12-01,1.386957
34,Oakland,2020-11-01,1.134783
24,Oakland,2020-01-01,1.352632
25,Oakland,2020-02-01,0.9
27,Oakland,2020-04-01,0.621739
28,Oakland,2020-05-01,0.470833
26,Oakland,2020-03-01,0.633333
30,Oakland,2020-07-01,0.454167
31,Oakland,2020-08-01,0.673913
32,Oakland,2020-09-01,1.520833
33,Oakland,2020-10-01,1.2125
29,Oakland,2020-06-01,0.433333
79,Pleasanton,2020-08-01,1.269565
82,Pleasanton,2020-11-01,0.745833
81,Pleasanton,2020-10-01,1.408696
80,Pleasanton,2020-09-01,1.408696
78,Pleasanton,2020-07-01,0.565217
83,Pleasanton,2020-12-01,0.821739
76,Pleasanton,2020-05-01,0.479167
75,Pleasanton,2020-04-01,0.391304
74,Pleasanton,2020-03-01,0.516667
73,Pleasanton,2020-02-01,0.675
72,Pleasanton,2020-01-01,0.713043
77,Pleasanton,2020-06-01,0.521739
9,Redwood City,2020-10-01,0.891304
8,Redwood City,2020-09-01,1.413043
7,Redwood City,2020-08-01,0.654167
6,Redwood City,2020-07-01,0.3
4,Redwood City,2020-05-01,0.333333
10,Redwood City,2020-11-01,0.695652
3,Redwood City,2020-04-01,0.395833
2,Redwood City,2020-03-01,0.469565
1,Redwood City,2020-02-01,0.6875
5,Redwood City,2020-06-01,0.275
11,Redwood City,2020-12-01,0.795652
0,Redwood City,2020-01-01,0.75
169,Sacramento,2020-02-01,0.631125
171,Sacramento,2020-04-01,0.374478
172,Sacramento,2020-05-01,0.451522
173,Sacramento,2020-06-01,0.3625
174,Sacramento,2020-07-01,0.297833
175,Sacramento,2020-08-01,0.754167
176,Sacramento,2020-09-01,1.288261
177,Sacramento,2020-10-01,1.054167
178,Sacramento,2020-11-01,0.776458
179,Sacramento,2020-12-01,0.703261
