,city,month,ozone median,2020median_income
0,Concord,2020-09-01,0.028043,95066.0
1,Concord,2020-10-01,0.02725,95066.0
2,Concord,2020-06-01,0.0263405,95066.0
3,Concord,2020-12-01,0.015958,95066.0
4,Concord,2020-11-01,0.019083,95066.0
5,Concord,2020-01-01,0.017304,95066.0
6,Concord,2020-02-01,0.024783,95066.0
7,Concord,2020-03-01,0.029,95066.0
8,Concord,2020-04-01,0.029304,95066.0
9,Concord,2020-05-01,0.030471,95066.0
10,Concord,2020-07-01,0.0262125,95066.0
11,Concord,2020-08-01,0.025792,95066.0
12,Fairfield,2020-04-01,0.029304,88399.0
13,Fairfield,2020-05-01,0.030471,88399.0
14,Fairfield,2020-06-01,0.0263405,88399.0
15,Fairfield,2020-03-01,0.029,88399.0
16,Fairfield,2020-08-01,0.025792,88399.0
17,Fairfield,2020-09-01,0.028043,88399.0
18,Fairfield,2020-02-01,0.024783,88399.0
19,Fairfield,2020-10-01,0.02725,88399.0
20,Fairfield,2020-07-01,0.0262125,88399.0
21,Fairfield,2020-01-01,0.017304,88399.0
22,Fairfield,2020-12-01,0.015958,88399.0
23,Fairfield,2020-11-01,0.019083,88399.0
24,Gilroy,2020-03-01,0.029,110472.0
25,Gilroy,2020-01-01,0.017304,110472.0
26,Gilroy,2020-12-01,0.015958,110472.0
27,Gilroy,2020-11-01,0.019083,110472.0
28,Gilroy,2020-10-01,0.02725,110472.0
29,Gilroy,2020-09-01,0.028043,110472.0
30,Gilroy,2020-08-01,0.025792,110472.0
31,Gilroy,2020-07-01,0.0262125,110472.0
32,Gilroy,2020-06-01,0.0263405,110472.0
33,Gilroy,2020-05-01,0.030471,110472.0
34,Gilroy,2020-04-01,0.029304,110472.0
35,Gilroy,2020-02-01,0.024783,110472.0
36,Hayward,2020-01-01,0.017304,93819.0
37,Hayward,2020-02-01,0.024783,93819.0
38,Hayward,2020-03-01,0.029,93819.0
39,Hayward,2020-11-01,0.019083,93819.0
40,Hayward,2020-10-01,0.02725,93819.0
41,Hayward,2020-09-01,0.028043,93819.0
42,Hayward,2020-08-01,0.025792,93819.0
43,Hayward,2020-12-01,0.015958,93819.0
44,Hayward,2020-06-01,0.0263405,93819.0
45,Hayward,2020-05-01,0.030471,93819.0
46,Hayward,2020-04-01,0.029304,93819.0
47,Hayward,2020-07-01,0.0262125,93819.0
48,Healdsburg,2020-09-01,0.028043,91511.0
49,Healdsburg,2020-08-01,0.025792,91511.0
50,Healdsburg,2020-12-01,0.015958,91511.0
51,Healdsburg,2020-06-01,0.0263405,91511.0
52,Healdsburg,2020-05-01,0.030471,91511.0
53,Healdsburg,2020-04-01,0.029304,91511.0
54,Healdsburg,2020-03-01,0.029,91511.0
55,Healdsburg,2020-02-01,0.024783,91511.0
56,Healdsburg,2020-01-01,0.017304,91511.0
57,Healdsburg,2020-10-01,0.02725,91511.0
58,Healdsburg,2020-07-01,0.0262125,91511.0
59,Healdsburg,2020-11-01,0.019083,91511.0
60,Livermore,2020-06-01,0.0263405,135016.0
61,Livermore,2020-10-01,0.02725,135016.0
62,Livermore,2020-09-01,0.028043,135016.0
63,Livermore,2020-08-01,0.025792,135016.0
64,Livermore,2020-07-01,0.0262125,135016.0
65,Livermore,2020-05-01,0.030471,135016.0
66,Livermore,2020-04-01,0.029304,135016.0
67,Livermore,2020-03-01,0.029,135016.0
68,Livermore,2020-02-01,0.024783,135016.0
69,Livermore,2020-01-01,0.017304,135016.0
70,Livermore,2020-11-01,0.019083,135016.0
71,Livermore,2020-12-01,0.015958,135016.0
72,Los Gatos,2020-12-01,0.015958,160248.0
73,Los Gatos,2020-08-01,0.025792,160248.0
74,Los Gatos,2020-07-01,0.0262125,160248.0
75,Los Gatos,2020-06-01,0.0263405,160248.0
76,Los Gatos,2020-05-01,0.030471,160248.0
77,Los Gatos,2020-11-01,0.019083,160248.0
78,Los Gatos,2020-04-01,0.029304,160248.0
79,Los Gatos,2020-03-01,0.029,160248.0
80,Los Gatos,2020-02-01,0.024783,160248.0
81,Los Gatos,2020-01-01,0.017304,160248.0
82,Los Gatos,2020-10-01,0.02725,160248.0
83,Los Gatos,2020-09-01,0.028043,160248.0
84,Napa,2020-02-01,0.024783,88141.0
85,Napa,2020-12-01,0.015958,88141.0
86,Napa,2020-11-01,0.019083,88141.0
87,Napa,2020-10-01,0.02725,88141.0
88,Napa,2020-09-01,0.028043,88141.0
