,city,month,nitrogen median
196,Bethel Island,2020-05-01,3.404348
203,Bethel Island,2020-12-01,12.5717395
202,Bethel Island,2020-11-01,10.923913
201,Bethel Island,2020-10-01,9.834783
200,Bethel Island,2020-09-01,6.767391
199,Bethel Island,2020-08-01,4.743478
198,Bethel Island,2020-07-01,3.178261
197,Bethel Island,2020-06-01,3.395652
195,Bethel Island,2020-04-01,3.55
194,Bethel Island,2020-03-01,5.8333005
193,Bethel Island,2020-02-01,10.443478
192,Bethel Island,2020-01-01,10.647826
183,Concord,2020-04-01,3.55
182,Concord,2020-03-01,5.8333005
181,Concord,2020-02-01,10.443478
184,Concord,2020-05-01,3.404348
180,Concord,2020-01-01,10.647826
185,Concord,2020-06-01,3.395652
188,Concord,2020-09-01,6.767391
187,Concord,2020-08-01,4.743478
189,Concord,2020-10-01,9.834783
190,Concord,2020-11-01,10.923913
191,Concord,2020-12-01,12.5717395
186,Concord,2020-07-01,3.178261
133,Livermore,2020-02-01,10.443478
141,Livermore,2020-10-01,9.834783
140,Livermore,2020-09-01,6.767391
139,Livermore,2020-08-01,4.743478
138,Livermore,2020-07-01,3.178261
137,Livermore,2020-06-01,3.395652
136,Livermore,2020-05-01,3.404348
135,Livermore,2020-04-01,3.55
134,Livermore,2020-03-01,5.8333005
132,Livermore,2020-01-01,10.647826
143,Livermore,2020-12-01,12.5717395
142,Livermore,2020-11-01,10.923913
118,Napa,2020-11-01,10.923913
116,Napa,2020-09-01,6.767391
115,Napa,2020-08-01,4.743478
114,Napa,2020-07-01,3.178261
113,Napa,2020-06-01,3.395652
112,Napa,2020-05-01,3.404348
111,Napa,2020-04-01,3.55
110,Napa,2020-03-01,5.8333005
109,Napa,2020-02-01,10.443478
108,Napa,2020-01-01,10.647826
117,Napa,2020-10-01,9.834783
119,Napa,2020-12-01,12.5717395
41,Not in a city,2020-06-01,3.395652
47,Not in a city,2020-12-01,12.5717395
36,Not in a city,2020-01-01,10.647826
37,Not in a city,2020-02-01,10.443478
38,Not in a city,2020-03-01,5.8333005
40,Not in a city,2020-05-01,3.404348
39,Not in a city,2020-04-01,3.55
43,Not in a city,2020-08-01,4.743478
44,Not in a city,2020-09-01,6.767391
45,Not in a city,2020-10-01,9.834783
46,Not in a city,2020-11-01,10.923913
42,Not in a city,2020-07-01,3.178261
155,Oakland,2020-12-01,12.5717395
151,Oakland,2020-08-01,4.743478
154,Oakland,2020-11-01,10.923913
153,Oakland,2020-10-01,9.834783
152,Oakland,2020-09-01,6.767391
144,Oakland,2020-01-01,10.647826
150,Oakland,2020-07-01,3.178261
148,Oakland,2020-05-01,3.404348
147,Oakland,2020-04-01,3.55
146,Oakland,2020-03-01,5.8333005
145,Oakland,2020-02-01,10.443478
149,Oakland,2020-06-01,3.395652
98,Pleasanton,2020-03-01,5.8333005
99,Pleasanton,2020-04-01,3.55
100,Pleasanton,2020-05-01,3.404348
101,Pleasanton,2020-06-01,3.395652
102,Pleasanton,2020-07-01,3.178261
104,Pleasanton,2020-09-01,6.767391
105,Pleasanton,2020-10-01,9.834783
106,Pleasanton,2020-11-01,10.923913
107,Pleasanton,2020-12-01,12.5717395
97,Pleasanton,2020-02-01,10.443478
103,Pleasanton,2020-08-01,4.743478
96,Pleasanton,2020-01-01,10.647826
0,Redwood City,2020-01-01,10.647826
1,Redwood City,2020-02-01,10.443478
2,Redwood City,2020-03-01,5.8333005
3,Redwood City,2020-04-01,3.55
4,Redwood City,2020-05-01,3.404348
5,Redwood City,2020-06-01,3.395652
6,Redwood City,2020-07-01,3.178261
7,Redwood City,2020-08-01,4.743478
8,Redwood City,2020-09-01,6.767391
9,Redwood City,2020-10-01,9.834783
10,Redwood City,2020-11-01,10.923913
11,Redwood City,2020-12-01,12.5717395
85,Roseville,2020-02-01,10.443478
84,Roseville,2020-01-01,10.647826
94,Roseville,2020-11-01,10.923913
93,Roseville,2020-10-01,9.834783
92,Roseville,2020-09-01,6.767391
91,Roseville,2020-08-01,4.743478
90,Roseville,2020-07-01,3.178261
89,Roseville,2020-06-01,3.395652
88,Roseville,2020-05-01,3.404348
87,Roseville,2020-04-01,3.55
86,Roseville,2020-03-01,5.8333005
95,Roseville,2020-12-01,12.5717395
57,Sacramento,2020-10-01,9.834783
56,Sacramento,2020-09-01,6.767391
55,Sacramento,2020-08-01,4.743478
53,Sacramento,2020-06-01,3.395652
48,Sacramento,2020-01-01,10.647826
51,Sacramento,2020-04-01,3.55
50,Sacramento,2020-03-01,5.8333005
49,Sacramento,2020-02-01,10.443478
58,Sacramento,2020-11-01,10.923913
52,Sacramento,2020-05-01,3.404348
59,Sacramento,2020-12-01,12.5717395
54,Sacramento,2020-07-01,3.178261
78,Salinas,2020-07-01,3.178261
76,Salinas,2020-05-01,3.404348
77,Salinas,2020-06-01,3.395652
