,city,month,ozone median
382,Arden-Arcade,2020-11-01,0.019083
372,Arden-Arcade,2020-01-01,0.017304
373,Arden-Arcade,2020-02-01,0.024783
374,Arden-Arcade,2020-03-01,0.029
375,Arden-Arcade,2020-04-01,0.029304
376,Arden-Arcade,2020-05-01,0.030471
383,Arden-Arcade,2020-12-01,0.015958
378,Arden-Arcade,2020-07-01,0.0262125
379,Arden-Arcade,2020-08-01,0.025792
380,Arden-Arcade,2020-09-01,0.028043
381,Arden-Arcade,2020-10-01,0.02725
377,Arden-Arcade,2020-06-01,0.0263405
360,Auburn,2020-01-01,0.017304
369,Auburn,2020-10-01,0.02725
368,Auburn,2020-09-01,0.028043
367,Auburn,2020-08-01,0.025792
366,Auburn,2020-07-01,0.0262125
365,Auburn,2020-06-01,0.0263405
364,Auburn,2020-05-01,0.030471
363,Auburn,2020-04-01,0.029304
362,Auburn,2020-03-01,0.029
361,Auburn,2020-02-01,0.024783
370,Auburn,2020-11-01,0.019083
371,Auburn,2020-12-01,0.015958
262,Bethel Island,2020-11-01,0.019083
263,Bethel Island,2020-12-01,0.015958
252,Bethel Island,2020-01-01,0.017304
253,Bethel Island,2020-02-01,0.024783
254,Bethel Island,2020-03-01,0.029
256,Bethel Island,2020-05-01,0.030471
255,Bethel Island,2020-04-01,0.029304
258,Bethel Island,2020-07-01,0.0262125
259,Bethel Island,2020-08-01,0.025792
260,Bethel Island,2020-09-01,0.028043
261,Bethel Island,2020-10-01,0.02725
257,Bethel Island,2020-06-01,0.0263405
104,Carmel Valley Village,2020-09-01,0.028043
107,Carmel Valley Village,2020-12-01,0.015958
106,Carmel Valley Village,2020-11-01,0.019083
105,Carmel Valley Village,2020-10-01,0.02725
103,Carmel Valley Village,2020-08-01,0.025792
98,Carmel Valley Village,2020-03-01,0.029
101,Carmel Valley Village,2020-06-01,0.0263405
100,Carmel Valley Village,2020-05-01,0.030471
99,Carmel Valley Village,2020-04-01,0.029304
96,Carmel Valley Village,2020-01-01,0.017304
102,Carmel Valley Village,2020-07-01,0.0262125
97,Carmel Valley Village,2020-02-01,0.024783
248,Concord,2020-09-01,0.028043
249,Concord,2020-10-01,0.02725
245,Concord,2020-06-01,0.0263405
251,Concord,2020-12-01,0.015958
250,Concord,2020-11-01,0.019083
240,Concord,2020-01-01,0.017304
241,Concord,2020-02-01,0.024783
242,Concord,2020-03-01,0.029
243,Concord,2020-04-01,0.029304
244,Concord,2020-05-01,0.030471
246,Concord,2020-07-01,0.0262125
247,Concord,2020-08-01,0.025792
159,Fairfield,2020-04-01,0.029304
160,Fairfield,2020-05-01,0.030471
161,Fairfield,2020-06-01,0.0263405
158,Fairfield,2020-03-01,0.029
163,Fairfield,2020-08-01,0.025792
164,Fairfield,2020-09-01,0.028043
157,Fairfield,2020-02-01,0.024783
165,Fairfield,2020-10-01,0.02725
162,Fairfield,2020-07-01,0.0262125
156,Fairfield,2020-01-01,0.017304
167,Fairfield,2020-12-01,0.015958
166,Fairfield,2020-11-01,0.019083
404,Folsom,2020-09-01,0.028043
403,Folsom,2020-08-01,0.025792
406,Folsom,2020-11-01,0.019083
402,Folsom,2020-07-01,0.0262125
400,Folsom,2020-05-01,0.030471
399,Folsom,2020-04-01,0.029304
398,Folsom,2020-03-01,0.029
397,Folsom,2020-02-01,0.024783
396,Folsom,2020-01-01,0.017304
407,Folsom,2020-12-01,0.015958
405,Folsom,2020-10-01,0.02725
401,Folsom,2020-06-01,0.0263405
50,Gilroy,2020-03-01,0.029
48,Gilroy,2020-01-01,0.017304
59,Gilroy,2020-12-01,0.015958
58,Gilroy,2020-11-01,0.019083
57,Gilroy,2020-10-01,0.02725
56,Gilroy,2020-09-01,0.028043
55,Gilroy,2020-08-01,0.025792
54,Gilroy,2020-07-01,0.0262125
53,Gilroy,2020-06-01,0.0263405
52,Gilroy,2020-05-01,0.030471
51,Gilroy,2020-04-01,0.029304
49,Gilroy,2020-02-01,0.024783
264,Hayward,2020-01-01,0.017304
265,Hayward,2020-02-01,0.024783
266,Hayward,2020-03-01,0.029
274,Hayward,2020-11-01,0.019083
273,Hayward,2020-10-01,0.02725
272,Hayward,2020-09-01,0.028043
271,Hayward,2020-08-01,0.025792
275,Hayward,2020-12-01,0.015958
269,Hayward,2020-06-01,0.0263405
268,Hayward,2020-05-01,0.030471
267,Hayward,2020-04-01,0.029304
270,Hayward,2020-07-01,0.0262125
308,Healdsburg,2020-09-01,0.028043
307,Healdsburg,2020-08-01,0.025792
311,Healdsburg,2020-12-01,0.015958
305,Healdsburg,2020-06-01,0.0263405
304,Healdsburg,2020-05-01,0.030471
303,Healdsburg,2020-04-01,0.029304
302,Healdsburg,2020-03-01,0.029
301,Healdsburg,2020-02-01,0.024783
300,Healdsburg,2020-01-01,0.017304
309,Healdsburg,2020-10-01,0.02725
306,Healdsburg,2020-07-01,0.0262125
310,Healdsburg,2020-11-01,0.019083
