,city,month,pm10 median
83,Arden-Arcade,2020-12-01,18.0
72,Arden-Arcade,2020-01-01,10.854167
73,Arden-Arcade,2020-02-01,16.2980075
74,Arden-Arcade,2020-03-01,8.0
75,Arden-Arcade,2020-04-01,11.75
76,Arden-Arcade,2020-05-01,13.208333
77,Arden-Arcade,2020-06-01,16.0
79,Arden-Arcade,2020-08-01,31.0
80,Arden-Arcade,2020-09-01,43.0
81,Arden-Arcade,2020-10-01,45.0
78,Arden-Arcade,2020-07-01,20.0
82,Arden-Arcade,2020-11-01,21.416666499999998
109,Bethel Island,2020-02-01,16.2980075
118,Bethel Island,2020-11-01,21.416666499999998
119,Bethel Island,2020-12-01,18.0
108,Bethel Island,2020-01-01,10.854167
117,Bethel Island,2020-10-01,45.0
115,Bethel Island,2020-08-01,31.0
116,Bethel Island,2020-09-01,43.0
113,Bethel Island,2020-06-01,16.0
112,Bethel Island,2020-05-01,13.208333
111,Bethel Island,2020-04-01,11.75
110,Bethel Island,2020-03-01,8.0
114,Bethel Island,2020-07-01,20.0
219,Cobb,2020-04-01,11.75
216,Cobb,2020-01-01,10.854167
217,Cobb,2020-02-01,16.2980075
218,Cobb,2020-03-01,8.0
220,Cobb,2020-05-01,13.208333
227,Cobb,2020-12-01,18.0
222,Cobb,2020-07-01,20.0
223,Cobb,2020-08-01,31.0
224,Cobb,2020-09-01,43.0
225,Cobb,2020-10-01,45.0
226,Cobb,2020-11-01,21.416666499999998
221,Cobb,2020-06-01,16.0
103,Concord,2020-08-01,31.0
102,Concord,2020-07-01,20.0
101,Concord,2020-06-01,16.0
100,Concord,2020-05-01,13.208333
97,Concord,2020-02-01,16.2980075
98,Concord,2020-03-01,8.0
96,Concord,2020-01-01,10.854167
106,Concord,2020-11-01,21.416666499999998
107,Concord,2020-12-01,18.0
99,Concord,2020-04-01,11.75
104,Concord,2020-09-01,43.0
105,Concord,2020-10-01,45.0
215,Guerneville,2020-12-01,18.0
214,Guerneville,2020-11-01,21.416666499999998
204,Guerneville,2020-01-01,10.854167
213,Guerneville,2020-10-01,45.0
212,Guerneville,2020-09-01,43.0
211,Guerneville,2020-08-01,31.0
210,Guerneville,2020-07-01,20.0
209,Guerneville,2020-06-01,16.0
208,Guerneville,2020-05-01,13.208333
207,Guerneville,2020-04-01,11.75
205,Guerneville,2020-02-01,16.2980075
206,Guerneville,2020-03-01,8.0
202,Healdsburg,2020-11-01,21.416666499999998
203,Healdsburg,2020-12-01,18.0
198,Healdsburg,2020-07-01,20.0
192,Healdsburg,2020-01-01,10.854167
193,Healdsburg,2020-02-01,16.2980075
194,Healdsburg,2020-03-01,8.0
195,Healdsburg,2020-04-01,11.75
196,Healdsburg,2020-05-01,13.208333
197,Healdsburg,2020-06-01,16.0
199,Healdsburg,2020-08-01,31.0
200,Healdsburg,2020-09-01,43.0
201,Healdsburg,2020-10-01,45.0
188,Hollister,2020-09-01,43.0
187,Hollister,2020-08-01,31.0
186,Hollister,2020-07-01,20.0
185,Hollister,2020-06-01,16.0
181,Hollister,2020-02-01,16.2980075
183,Hollister,2020-04-01,11.75
182,Hollister,2020-03-01,8.0
189,Hollister,2020-10-01,45.0
180,Hollister,2020-01-01,10.854167
184,Hollister,2020-05-01,13.208333
191,Hollister,2020-12-01,18.0
190,Hollister,2020-11-01,21.416666499999998
178,King City,2020-11-01,21.416666499999998
179,King City,2020-12-01,18.0
177,King City,2020-10-01,45.0
176,King City,2020-09-01,43.0
175,King City,2020-08-01,31.0
174,King City,2020-07-01,20.0
173,King City,2020-06-01,16.0
171,King City,2020-04-01,11.75
170,King City,2020-03-01,8.0
169,King City,2020-02-01,16.2980075
168,King City,2020-01-01,10.854167
172,King City,2020-05-01,13.208333
157,Manteca,2020-02-01,16.2980075
158,Manteca,2020-03-01,8.0
159,Manteca,2020-04-01,11.75
160,Manteca,2020-05-01,13.208333
161,Manteca,2020-06-01,16.0
162,Manteca,2020-07-01,20.0
163,Manteca,2020-08-01,31.0
164,Manteca,2020-09-01,43.0
165,Manteca,2020-10-01,45.0
156,Manteca,2020-01-01,10.854167
167,Manteca,2020-12-01,18.0
166,Manteca,2020-11-01,21.416666499999998
239,Middletown,2020-12-01,18.0
231,Middletown,2020-04-01,11.75
232,Middletown,2020-05-01,13.208333
233,Middletown,2020-06-01,16.0
234,Middletown,2020-07-01,20.0
235,Middletown,2020-08-01,31.0
236,Middletown,2020-09-01,43.0
237,Middletown,2020-10-01,45.0
238,Middletown,2020-11-01,21.416666499999998
228,Middletown,2020-01-01,10.854167
229,Middletown,2020-02-01,16.2980075
230,Middletown,2020-03-01,8.0
264,Napa,2020-01-01,10.854167
265,Napa,2020-02-01,16.2980075
266,Napa,2020-03-01,8.0
267,Napa,2020-04-01,11.75
268,Napa,2020-05-01,13.208333
269,Napa,2020-06-01,16.0
270,Napa,2020-07-01,20.0
271,Napa,2020-08-01,31.0
272,Napa,2020-09-01,43.0
273,Napa,2020-10-01,45.0
274,Napa,2020-11-01,21.416666499999998
275,Napa,2020-12-01,18.0
71,Not in a city,2020-12-01,18.0
60,Not in a city,2020-01-01,10.854167
61,Not in a city,2020-02-01,16.2980075
62,Not in a city,2020-03-01,8.0
64,Not in a city,2020-05-01,13.208333
65,Not in a city,2020-06-01,16.0
63,Not in a city,2020-04-01,11.75
67,Not in a city,2020-08-01,31.0
68,Not in a city,2020-09-01,43.0
69,Not in a city,2020-10-01,45.0
70,Not in a city,2020-11-01,21.416666499999998
66,Not in a city,2020-07-01,20.0
151,Roseville,2020-08-01,31.0
155,Roseville,2020-12-01,18.0
154,Roseville,2020-11-01,21.416666499999998
153,Roseville,2020-10-01,45.0
152,Roseville,2020-09-01,43.0
150,Roseville,2020-07-01,20.0
149,Roseville,2020-06-01,16.0
148,Roseville,2020-05-01,13.208333
147,Roseville,2020-04-01,11.75
146,Roseville,2020-03-01,8.0
145,Roseville,2020-02-01,16.2980075
144,Roseville,2020-01-01,10.854167
129,Sacramento,2020-10-01,45.0
128,Sacramento,2020-09-01,43.0
127,Sacramento,2020-08-01,31.0
126,Sacramento,2020-07-01,20.0
125,Sacramento,2020-06-01,16.0
123,Sacramento,2020-04-01,11.75
131,Sacramento,2020-12-01,18.0
122,Sacramento,2020-03-01,8.0
121,Sacramento,2020-02-01,16.2980075
120,Sacramento,2020-01-01,10.854167
124,Sacramento,2020-05-01,13.208333
130,Sacramento,2020-11-01,21.416666499999998
0,San Francisco,2020-01-01,10.854167
11,San Francisco,2020-12-01,18.0
9,San Francisco,2020-10-01,45.0
8,San Francisco,2020-09-01,43.0
7,San Francisco,2020-08-01,31.0
6,San Francisco,2020-07-01,20.0
10,San Francisco,2020-11-01,21.416666499999998
4,San Francisco,2020-05-01,13.208333
3,San Francisco,2020-04-01,11.75
2,San Francisco,2020-03-01,8.0
1,San Francisco,2020-02-01,16.2980075
5,San Francisco,2020-06-01,16.0
240,San Jose,2020-01-01,10.854167
244,San Jose,2020-05-01,13.208333
245,San Jose,2020-06-01,16.0
246,San Jose,2020-07-01,20.0
247,San Jose,2020-08-01,31.0
248,San Jose,2020-09-01,43.0
249,San Jose,2020-10-01,45.0
250,San Jose,2020-11-01,21.416666499999998
251,San Jose,2020-12-01,18.0
241,San Jose,2020-02-01,16.2980075
243,San Jose,2020-04-01,11.75
242,San Jose,2020-03-01,8.0
255,San Pablo,2020-04-01,11.75
263,San Pablo,2020-12-01,18.0
254,San Pablo,2020-03-01,8.0
262,San Pablo,2020-11-01,21.416666499999998
261,San Pablo,2020-10-01,45.0
260,San Pablo,2020-09-01,43.0
259,San Pablo,2020-08-01,31.0
258,San Pablo,2020-07-01,20.0
257,San Pablo,2020-06-01,16.0
256,San Pablo,2020-05-01,13.208333
253,San Pablo,2020-02-01,16.2980075
252,San Pablo,2020-01-01,10.854167
26,San Rafael,2020-03-01,8.0
34,San Rafael,2020-11-01,21.416666499999998
33,San Rafael,2020-10-01,45.0
32,San Rafael,2020-09-01,43.0
31,San Rafael,2020-08-01,31.0
30,San Rafael,2020-07-01,20.0
29,San Rafael,2020-06-01,16.0
27,San Rafael,2020-04-01,11.75
35,San Rafael,2020-12-01,18.0
25,San Rafael,2020-02-01,16.2980075
28,San Rafael,2020-05-01,13.208333
24,San Rafael,2020-01-01,10.854167
49,Stockton,2020-02-01,16.2980075
50,Stockton,2020-03-01,8.0
51,Stockton,2020-04-01,11.75
53,Stockton,2020-06-01,16.0
54,Stockton,2020-07-01,20.0
55,Stockton,2020-08-01,31.0
56,Stockton,2020-09-01,43.0
57,Stockton,2020-10-01,45.0
58,Stockton,2020-11-01,21.416666499999998
59,Stockton,2020-12-01,18.0
48,Stockton,2020-01-01,10.854167
52,Stockton,2020-05-01,13.208333
142,Tracy,2020-11-01,21.416666499999998
137,Tracy,2020-06-01,16.0
143,Tracy,2020-12-01,18.0
132,Tracy,2020-01-01,10.854167
134,Tracy,2020-03-01,8.0
135,Tracy,2020-04-01,11.75
133,Tracy,2020-02-01,16.2980075
138,Tracy,2020-07-01,20.0
139,Tracy,2020-08-01,31.0
140,Tracy,2020-09-01,43.0
141,Tracy,2020-10-01,45.0
136,Tracy,2020-05-01,13.208333
42,Vacaville,2020-07-01,20.0
46,Vacaville,2020-11-01,21.416666499999998
45,Vacaville,2020-10-01,45.0
44,Vacaville,2020-09-01,43.0
43,Vacaville,2020-08-01,31.0
41,Vacaville,2020-06-01,16.0
47,Vacaville,2020-12-01,18.0
39,Vacaville,2020-04-01,11.75
38,Vacaville,2020-03-01,8.0
37,Vacaville,2020-02-01,16.2980075
36,Vacaville,2020-01-01,10.854167
40,Vacaville,2020-05-01,13.208333
95,West Sacramento,2020-12-01,18.0
94,West Sacramento,2020-11-01,21.416666499999998
93,West Sacramento,2020-10-01,45.0
91,West Sacramento,2020-08-01,31.0
90,West Sacramento,2020-07-01,20.0
89,West Sacramento,2020-06-01,16.0
92,West Sacramento,2020-09-01,43.0
87,West Sacramento,2020-04-01,11.75
86,West Sacramento,2020-03-01,8.0
85,West Sacramento,2020-02-01,16.2980075
84,West Sacramento,2020-01-01,10.854167
88,West Sacramento,2020-05-01,13.208333
20,Woodland,2020-09-01,43.0
19,Woodland,2020-08-01,31.0
18,Woodland,2020-07-01,20.0
17,Woodland,2020-06-01,16.0
16,Woodland,2020-05-01,13.208333
14,Woodland,2020-03-01,8.0
13,Woodland,2020-02-01,16.2980075
12,Woodland,2020-01-01,10.854167
23,Woodland,2020-12-01,18.0
22,Woodland,2020-11-01,21.416666499999998
15,Woodland,2020-04-01,11.75
21,Woodland,2020-10-01,45.0
