10_city,10_county,10_mean,10_method,10_site,pm_10_date
San Francisco,San Francisco,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-02-09
San Francisco,San Francisco,14.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-01-04
San Francisco,San Francisco,9.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-01-16
San Francisco,San Francisco,20.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-01-28
San Francisco,San Francisco,29.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-02-21
San Francisco,San Francisco,30.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-03-04
San Francisco,San Francisco,4.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-03-16
San Francisco,San Francisco,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-03-28
San Francisco,San Francisco,8.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-04-09
San Francisco,San Francisco,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-04-21
San Francisco,San Francisco,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-05-03
San Francisco,San Francisco,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-05-15
San Francisco,San Francisco,25.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-05-27
San Francisco,San Francisco,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-06-08
San Francisco,San Francisco,7.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-06-20
San Francisco,San Francisco,26.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-08-07
San Francisco,San Francisco,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-07-02
San Francisco,San Francisco,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-07-14
San Francisco,San Francisco,10.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-07-26
San Francisco,San Francisco,58.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-08-19
San Francisco,San Francisco,30.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-08-31
San Francisco,San Francisco,102.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-09-12
San Francisco,San Francisco,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-09-24
San Francisco,San Francisco,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-10-06
San Francisco,San Francisco,29.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-10-18
San Francisco,San Francisco,25.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-10-30
San Francisco,San Francisco,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-11-11
San Francisco,San Francisco,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-11-23
San Francisco,San Francisco,31.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-12-05
San Francisco,San Francisco,14.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-12-17
San Francisco,San Francisco,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0005,2020-12-29
Woodland,Yolo,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-01-25
Woodland,Yolo,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-01-28
Woodland,Yolo,24.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-02-15
Woodland,Yolo,5.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-02-03
Woodland,Yolo,9.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-02-09
Woodland,Yolo,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-02-21
Woodland,Yolo,26.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-02-27
Woodland,Yolo,31.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-03-04
Woodland,Yolo,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-03-10
Woodland,Yolo,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-03-16
Woodland,Yolo,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-03-22
Woodland,Yolo,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-04-03
Woodland,Yolo,20.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-04-15
Woodland,Yolo,18.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-04-21
Woodland,Yolo,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-04-27
Woodland,Yolo,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-05-03
