sulfur_city,sulfur_county,sulfur_mean,sulfur_method,sulfur_site,sulfur_date
Vallejo,Solano,0.968182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-01
Vallejo,Solano,1.031818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-02
Vallejo,Solano,0.936364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-03
Vallejo,Solano,0.886364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-04
Vallejo,Solano,0.8,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-05
Vallejo,Solano,1.18,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-06
Vallejo,Solano,1.047368,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-07
Vallejo,Solano,0.754545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-08
Vallejo,Solano,0.64,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-09
Vallejo,Solano,1.495455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-10
Vallejo,Solano,0.581818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-11
Vallejo,Solano,1.045455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-12
Vallejo,Solano,0.677273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-13
Vallejo,Solano,0.542857,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-14
Vallejo,Solano,1.266667,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-15
Vallejo,Solano,0.436842,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-16
Vallejo,Solano,0.5,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-17
Vallejo,Solano,0.131818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-18
Vallejo,Solano,0.081818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-19
Vallejo,Solano,0.35,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-20
Vallejo,Solano,0.677273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-21
Vallejo,Solano,0.272727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-22
Vallejo,Solano,0.286364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-23
Vallejo,Solano,0.595455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-24
Vallejo,Solano,0.781818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-25
Vallejo,Solano,0.05,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-26
Vallejo,Solano,0.068182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-27
Vallejo,Solano,0.109091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-28
Vallejo,Solano,0.281818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-29
Vallejo,Solano,0.381818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-30
Vallejo,Solano,0.531818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-01-31
Vallejo,Solano,0.654545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-01
Vallejo,Solano,0.109091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-02
Vallejo,Solano,0.318182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-03
Vallejo,Solano,0.368182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-04
Vallejo,Solano,0.75,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-05
Vallejo,Solano,0.845455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-06
Vallejo,Solano,0.772727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-07
Vallejo,Solano,0.295455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-08
Vallejo,Solano,0.118182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-09
Vallejo,Solano,0.419048,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-10
Vallejo,Solano,0.759091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-11
Vallejo,Solano,0.836364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-12
Vallejo,Solano,0.431818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-13
Vallejo,Solano,0.090909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-16
Vallejo,Solano,0.3,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-14
Vallejo,Solano,0.631818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-15
Vallejo,Solano,0.545455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-17
Vallejo,Solano,0.495455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-18
Vallejo,Solano,0.959091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-19
Vallejo,Solano,0.586364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-20
Vallejo,Solano,0.695455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-21
Vallejo,Solano,0.313636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-22
Vallejo,Solano,0.136364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-23
Vallejo,Solano,0.331818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-24
Vallejo,Solano,0.64,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-25
Vallejo,Solano,0.718182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-26
Vallejo,Solano,0.554545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-27
Vallejo,Solano,0.75,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-28
Vallejo,Solano,0.084211,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-02-29
Vallejo,Solano,0.077273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-01
Vallejo,Solano,0.218182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-02
Vallejo,Solano,0.404545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-03
Vallejo,Solano,0.663636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-04
Vallejo,Solano,0.136364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-05
Vallejo,Solano,0.013636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-06
Vallejo,Solano,0.004545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-07
Vallejo,Solano,0.604545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-08
Vallejo,Solano,0.266667,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-09
Vallejo,Solano,0.709091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-10
Vallejo,Solano,0.254545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-11
Vallejo,Solano,0.309091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-12
Vallejo,Solano,0.095,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-13
Vallejo,Solano,0.018182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-14
Vallejo,Solano,0.086364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-15
Vallejo,Solano,0.131818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-16
Vallejo,Solano,0.172727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-17
Vallejo,Solano,0.427273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-18
Vallejo,Solano,0.290909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-19
Vallejo,Solano,0.55,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-20
Vallejo,Solano,0.936364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-21
Vallejo,Solano,0.604545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-22
Vallejo,Solano,0.209091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-23
Vallejo,Solano,0.259091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-24
Vallejo,Solano,0.25,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-25
Vallejo,Solano,0.459091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-26
Vallejo,Solano,0.204545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-27
Vallejo,Solano,0.195455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-28
Vallejo,Solano,0.431818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-29
Vallejo,Solano,0.063636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-30
Vallejo,Solano,0.004545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-03-31
Vallejo,Solano,0.063636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-01
Vallejo,Solano,0.254545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-02
Vallejo,Solano,0.181818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-03
Vallejo,Solano,0.213636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-04
Vallejo,Solano,0.15,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-05
Vallejo,Solano,0.295455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-06
Vallejo,Solano,0.372727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-07
Vallejo,Solano,0.222727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-08
Vallejo,Solano,0.154545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-09
Vallejo,Solano,0.077273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-10
Vallejo,Solano,0.068182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-11
Vallejo,Solano,0.068182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-12
Vallejo,Solano,0.236364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-13
Vallejo,Solano,0.304545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-14
Vallejo,Solano,0.736364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-15
Vallejo,Solano,0.113636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-16
Vallejo,Solano,0.054545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-17
Vallejo,Solano,0.054545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-18
Vallejo,Solano,0.136364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-19
Vallejo,Solano,0.072727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-20
Vallejo,Solano,0.154545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-21
Vallejo,Solano,0.145455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-22
Vallejo,Solano,0.104545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-23
Vallejo,Solano,0.309091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-24
Vallejo,Solano,0.236364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-25
Vallejo,Solano,0.140909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-26
Vallejo,Solano,0.15,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-27
Vallejo,Solano,0.218182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-28
Vallejo,Solano,0.113636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-29
Vallejo,Solano,0.122727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-04-30
Vallejo,Solano,0.213636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-01
Vallejo,Solano,0.113636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-02
Vallejo,Solano,0.118182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-03
Vallejo,Solano,0.254545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-04
Vallejo,Solano,0.186364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-05
Vallejo,Solano,0.3,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-06
Vallejo,Solano,0.609091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-07
Vallejo,Solano,0.909091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-08
Vallejo,Solano,0.15,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-09
Vallejo,Solano,0.118182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-10
Vallejo,Solano,0.309091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-11
Vallejo,Solano,0.281818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-12
Vallejo,Solano,0.45,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-13
Vallejo,Solano,0.285714,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-14
Vallejo,Solano,0.272727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-15
Vallejo,Solano,0.322727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-16
Vallejo,Solano,0.368182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-17
Vallejo,Solano,0.254545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-18
Vallejo,Solano,0.304545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-19
Vallejo,Solano,0.5,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-20
Vallejo,Solano,0.431818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-21
Vallejo,Solano,0.368182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-22
Vallejo,Solano,0.545455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-23
Vallejo,Solano,0.718182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-24
Vallejo,Solano,0.7,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-25
Vallejo,Solano,0.804545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-26
Vallejo,Solano,0.454545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-27
Vallejo,Solano,0.290909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-28
Vallejo,Solano,0.281818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-29
Vallejo,Solano,0.390909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-30
Vallejo,Solano,0.290909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-05-31
Vallejo,Solano,0.404762,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-01
Vallejo,Solano,0.759091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-02
Vallejo,Solano,0.790909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-03
Vallejo,Solano,0.5,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-04
Vallejo,Solano,0.313636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-05
Vallejo,Solano,0.304545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-06
Vallejo,Solano,0.363636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-07
Vallejo,Solano,0.495455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-08
Vallejo,Solano,0.654545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-09
Vallejo,Solano,0.640909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-10
Vallejo,Solano,0.390909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-11
Vallejo,Solano,0.313636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-12
Vallejo,Solano,0.345455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-15
Vallejo,Solano,0.3,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-13
Vallejo,Solano,0.331818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-14
Vallejo,Solano,0.354545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-16
Vallejo,Solano,0.668182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-17
Vallejo,Solano,0.790909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-18
Vallejo,Solano,0.481818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-19
Vallejo,Solano,0.390909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-20
Vallejo,Solano,0.336364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-21
Vallejo,Solano,0.340909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-22
Vallejo,Solano,0.318182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-23
Vallejo,Solano,0.318182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-24
Vallejo,Solano,0.313636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-25
Vallejo,Solano,0.363636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-26
Vallejo,Solano,0.331818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-27
Vallejo,Solano,0.431818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-28
Vallejo,Solano,0.495455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-29
Vallejo,Solano,0.627273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-06-30
Vallejo,Solano,0.372727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-01
Vallejo,Solano,0.495455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-02
Vallejo,Solano,0.363636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-03
Vallejo,Solano,0.827273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-04
Vallejo,Solano,0.572727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-05
Vallejo,Solano,0.415,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-06
Vallejo,Solano,0.518182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-07
Vallejo,Solano,0.481818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-08
Vallejo,Solano,0.554545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-09
Vallejo,Solano,0.472727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-10
Vallejo,Solano,0.586364,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-11
Vallejo,Solano,0.509091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-12
Vallejo,Solano,0.395455,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-13
Vallejo,Solano,0.413636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-14
Vallejo,Solano,0.359091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-15
Vallejo,Solano,0.354545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-16
Vallejo,Solano,0.390909,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-17
Vallejo,Solano,0.363636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-18
Vallejo,Solano,0.354545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-19
Vallejo,Solano,0.372727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-20
Vallejo,Solano,0.354545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-21
Vallejo,Solano,0.418182,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-22
Vallejo,Solano,0.377273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-23
Vallejo,Solano,0.35,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-24
Vallejo,Solano,0.377273,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-25
Vallejo,Solano,0.372727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-26
Vallejo,Solano,0.372727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-27
Vallejo,Solano,0.359091,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-28
Vallejo,Solano,0.354545,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-29
Vallejo,Solano,0.35,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-30
Vallejo,Solano,0.363636,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-07-31
Vallejo,Solano,0.381818,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-08-01
Vallejo,Solano,0.372727,INSTRUMENTAL - PULSED FLUORESCENT,0004,2020-08-02
